cycle_percent,knee_flexion_mean,knee_flexion_sd,hip_flexion_mean,hip_flexion_sd,trunk_flexion_mean,trunk_flexion_sd,knee_velocity_mean,knee_velocity_sd,ankle_dorsiflexion_mean,ankle_dorsiflexion_sd,foot_inclination_mean,foot_inclination_sd
65.0,82.78881346123087,3.758082745016614,84.88286225234394,3.0608790338732064,23.95907749002234,0.722408320309852,-55.09767109971406,14.902187591908715,14.596853483726129,1.9444778635165547,7.268175215183128,2.143309064245502
66.0,81.8685722855379,4.092513990987962,83.93654616473945,3.3646184498012097,23.812544687146612,0.7530097813921909,-64.66129024424988,16.07809750311495,14.379528847782566,2.109462758587315,7.365041960162471,2.2565140163750117
67.0,80.71918264151533,4.2751084132107735,82.76468288009568,3.4895896373820885,23.636026050673763,0.7652549915010823,-74.3487203663006,17.155210982296918,14.167218892963888,2.2799298851433085,7.423306919129499,2.3328690891883945
68.0,79.16669758177879,4.310074224914925,81.16792477357033,3.43544909659462,23.3603140491749,0.7521657808834727,-84.23225004104238,18.2307376542714,13.856348062466898,2.352767606561291,7.502738794916443,2.38220533051244
69.0,77.52414913485815,4.499665916728693,79.49472205482742,3.576927813832353,23.062887501739244,0.7938245364581029,-94.77974545016815,19.345570954264236,13.534538079438702,2.420904744713717,7.55777650233124,2.4017856128235757
70.0,75.76878515758489,4.955871256018535,77.7270486900298,3.9778517577674894,22.732503991342465,0.8400324663995068,-104.85799883638458,20.089110164938056,13.206826665791242,2.533280755352722,7.567413793106266,2.3698782973845764
71.0,73.83267928105253,5.41489141801873,75.7919502840995,4.358224756422958,22.362367339174707,0.8882471931540848,-113.35229886955487,19.376159782839164,12.816367139238471,2.6467813744401534,7.58672919688924,2.343259795559404
72.0,71.656173625418,6.055538987027024,73.65301197041308,4.900029024684405,21.94782375092635,0.9808133736342473,-120.69342495815111,17.95288020298109,12.345585430638218,2.794407789275496,7.6053999752930395,2.323156795149711
73.0,69.42865759528819,6.499590844929874,71.46259156760179,5.244664858661618,21.514281216981306,1.0460435254593563,-128.0507921335322,15.820463080452333,11.889672523836126,2.9889916124801674,7.590674720831569,2.285201451957025
74.0,67.21593884382646,6.872952579791748,69.27417024874394,5.504558318040399,21.04910149864498,1.0922402765534036,-133.9789488047378,15.160342967499624,11.404313155698896,3.2226776974193023,7.586556938028575,2.263471430132707
75.0,64.8855106825334,7.187275037904133,66.98368987750654,5.738245549444835,20.537459785055905,1.1813667275516344,-137.38295446496025,15.817983100253915,10.815664870392085,3.424150738887213,7.623615719690675,2.2239332892441483
76.0,62.416789154844395,7.33585225677637,64.57273501401669,5.843484972489904,20.00181054416465,1.2524689575401708,-140.91434417480716,19.909141292880378,10.179847408522889,3.6057645150686257,7.666017276469454,2.208879870584704
77.0,59.69473634529629,7.092870440712891,61.95841220813774,5.631240024720294,19.426377637641124,1.27060249669902,-144.68074437841543,26.57787623605646,9.455609766096556,3.716536139655193,7.707092008703093,2.2271026500126894
78.0,57.13008303970873,6.724227172672659,59.45246305304247,5.336494202845408,18.83030664359598,1.2841130632581454,-146.32714013307339,32.07385128686719,8.798926251214553,3.7412164413501925,7.709000379047662,2.2340389661032938
79.0,54.50302915126471,6.344793474233585,56.902121190018455,5.0692254093371965,18.228402309261956,1.3010934486810297,-146.81822932031378,36.512140331373665,8.105244882376416,3.725411000151844,7.724065388131769,2.254038243043062
80.0,51.90423472924783,5.9688353936335465,54.414206644631804,4.825799836758834,17.642831749738953,1.2965823225194373,-145.4891546109628,38.149665201053736,7.386901810145074,3.6740528969284245,7.745958024209888,2.2733363151370156
81.0,49.55888997614005,5.494152008740956,52.14074715486794,4.557506841400581,17.07643739150891,1.2928661631033906,-145.46846516905646,38.17939665801285,6.7770622304956305,3.578519050280236,7.717517982285368,2.2686724044344175
82.0,47.31576759408176,5.019771109932189,49.932724750780494,4.339724391977412,16.505858665194683,1.3114827828457372,-145.17222736855527,35.67912531927947,6.191199858329564,3.4129979223181484,7.697701650166366,2.230741177858978
83.0,45.11087749375195,4.702836166908526,47.75120414785079,4.258902884488983,15.93261913784165,1.343723095171526,-143.41721264804428,30.380239661536894,5.5797060180088485,3.2341420379289527,7.712586465733949,2.162899749545351
84.0,42.72326697602538,4.4166882973933195,45.37292720935083,4.201066483262021,15.306775075201275,1.3854729207123635,-141.88085600858673,25.494873396803918,4.959934274738448,3.054258031011806,7.697180567137356,2.071221787698662
85.0,40.16286126124039,4.061548720027077,42.74464215742364,4.0851848942625,14.548880818555277,1.4742533269872953,-141.3456751671781,21.944852837664275,4.369785958563383,2.8678437244688615,7.597313963808624,1.9643092237619093
86.0,37.75043446737046,3.7058623511877826,40.228157306125006,3.9794676170859757,13.790222249365916,1.5738497767070205,-141.30016810300734,20.496885285493903,3.823871683971962,2.725135894398566,7.488627726639391,1.873059763531201
87.0,35.297017319496874,3.3898479043436147,37.658913834406306,3.9212849181704383,13.002511398403998,1.6818977888078006,-140.81844156888238,20.231063803929217,3.268588645172837,2.5905274861331944,7.3720262383217054,1.7806776089463423
