frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility
55,3.2238881587982178,left,left,167.6287465744622,12.371253425537788,174.35985803196306,5.640141968036943,-0.016092947989006935,89.72274035226096,4.65063744534433,6.437758861772813,-0.6907339427762622,OK,0.9392952919006348,heel,0.999912679195404,0.999085009098053,0.9449012875556946,0.9663318991661072,0.9392952919006348,0.9598153829574585
56,3.280812978744507,left,left,160.13486966496887,19.865130335031125,167.97256796444967,12.027432035550333,1.523974161248759,87.60630013113023,6.7670776664750605,6.967972591859776,-0.16052021268930616,OK,0.9406402707099915,heel,0.9999192357063293,0.9991050958633423,0.9462064504623413,0.9669519662857056,0.9406402707099915,0.9607670307159424
57,3.3419196605682373,left,left,157.41715371910644,22.582846280893563,165.02321603562098,14.976783964379024,2.484325141062936,87.05626410527034,7.317113692334942,7.146651562847816,0.01815875829873903,OK,0.9422184228897095,heel,0.9999253749847412,0.9991356134414673,0.9473066329956055,0.9676015377044678,0.9422184228897095,0.96188884973526
58,3.401054620742798,left,left,145.18418541767113,34.81581458232887,152.79617517956143,27.20382482043857,5.841236551521146,84.39787089752477,9.975506900080518,7.851097210936205,0.72260440638712,OK,0.9439529776573181,heel,0.999931275844574,0.9992052316665649,0.9471151828765869,0.9680708050727844,0.9439529776573181,0.961765468120575
59,3.4717836380004883,left,left,133.70689793704395,46.29310206295605,142.33579780247752,37.664202197522485,7.908495943921635,80.05886430723643,14.314513490368853,6.5962601165916315,-0.5322326879574462,OK,0.946345329284668,heel,0.9999375343322754,0.9992774128913879,0.9480482339859009,0.9685271978378296,0.946345329284668,0.9615779519081116
60,3.532989501953125,left,left,131.7392092608303,48.26079073916969,139.99624017211454,40.00375982788546,8.961322581820404,79.40427320636036,14.969104591244928,6.622626699464982,-0.5058661050840954,OK,0.9480847120285034,heel,0.9999426603317261,0.9993413090705872,0.9502050876617432,0.9695243239402771,0.9480847120285034,0.962425708770752
61,3.586463451385498,left,left,116.96484648924644,63.03515351075356,126.01482921477275,53.985170785227254,11.383122355729455,79.35141498708427,15.021962810521018,9.78452006834004,2.6560272637909748,OK,0.9513657689094543,heel,0.999943196773529,0.9994010925292969,0.9540827870368958,0.9718036651611328,0.9513657689094543,0.9651058316230774
62,3.6422789096832275,left,left,112.33709718700055,67.66290281299945,121.78661751641147,58.21338248358853,12.76387923010162,77.53300703486828,16.84037076273701,9.746406594380792,2.6179137898317038,OK,0.9548339247703552,heel,0.9999464750289917,0.9994581937789917,0.9576764106750488,0.9741057753562927,0.9548339247703552,0.967960000038147
63,3.697739601135254,left,left,112.59861439203671,67.40138560796329,120.38908136111003,59.61091863888997,14.001564034741262,77.30499395366404,17.06838384394125,9.097024957478618,1.968532152929555,OK,0.9582930207252502,heel,0.9999397397041321,0.9995046854019165,0.9611089825630188,0.9761878252029419,0.9582930207252502,0.9705330729484558
64,3.7569820880889893,left,left,107.07944074118836,72.92055925881164,114.613124446489,65.386875553511,15.004812520037852,77.97215655720392,16.40122124040137,10.510652782542389,3.382159977993325,OK,0.9617144465446472,heel,0.9999386668205261,0.9995469450950623,0.9643412232398987,0.9781563878059387,0.9617144465446472,0.9729743599891663
65,3.821864128112793,left,left,106.366431114606,73.633568885394,113.17656061309869,66.82343938690131,15.895942162007227,78.047607657803,16.325770139802287,10.753679318302918,3.625186513753846,OK,0.9647833704948425,heel,0.9999383091926575,0.9995852708816528,0.9673042893409729,0.9799538254737854,0.9647833704948425,0.9751672744750977
66,3.880028486251831,left,left,99.20818070937499,80.79181929062501,104.35231758508712,75.64768241491288,17.561959402274027,78.09516145495239,16.278216342652897,10.801257732938565,3.6727649283894834,OK,0.9674018025398254,heel,0.9999329447746277,0.9996172785758972,0.9696371555328369,0.9814005494117737,0.9674018025398254,0.9769516587257385
67,3.939979076385498,left,left,96.66748458540707,83.33251541459293,100.97832843502907,79.02167156497093,18.995436851206925,77.82941005875162,16.543967738853667,11.13569075958054,4.007197955031472,OK,0.9697006940841675,heel,0.9999300241470337,0.9996479749679565,0.9717218279838562,0.9826425909996033,0.9697006940841675,0.9784402847290039
68,3.9961256980895996,left,left,96.50523154835489,83.49476845164511,100.57775220594417,79.42224779405583,19.5109455134946,77.7905660266725,16.582811770932793,11.374032197756367,4.245539393207281,OK,0.9719987511634827,heel,0.9999239444732666,0.9996770024299622,0.9736834168434143,0.9839944243431091,0.9719987511634827,0.9800894260406494
69,4.058363676071167,left,left,93.73438239481827,86.26561760518173,97.39514547038992,82.60485452961008,20.087487080840727,77.00627708913866,17.367100708466623,10.754527245551042,3.6260344410019627,OK,0.9739474654197693,heel,0.9999157786369324,0.9997001886367798,0.9754789471626282,0.985121488571167,0.9739474654197693,0.9814345240592957
70,4.12078595161438,left,left,93.18278619606761,86.81721380393239,96.29724266520441,83.70275733479559,20.83758431520359,76.78607124587452,17.587306551730762,10.738112030214916,3.6096192256658526,OK,0.9755914211273193,heel,0.9999040961265564,0.9997150301933289,0.9768926501274109,0.9859974384307861,0.9755914211273193,0.9824121594429016
