frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min
49,2.6077778339385986,left,left,179.12613284030124,-0.8738671596987615,172.7083282893415,-7.291671710658505,-5.170391397839313,93.35075421826865,0.023532954549139617,4.598167371389062,0.28242744191317115,OK,0.8475300073623657
50,2.657522439956665,left,left,179.0512016688279,-0.9487983311720996,172.51257283442794,-7.487427165572058,-5.30365743781788,93.54147837403234,-0.16719120121454978,4.7764497706144455,0.4607098411385664,OK,0.8484122157096863
51,2.7020914554595947,left,left,178.99589789760373,-1.0041021023962742,172.3948734184176,-7.605126581582397,-5.375524467694851,93.66886993357835,-0.2945827607605622,4.894369945069602,0.578630015593717,OK,0.8491591215133667
52,2.759244203567505,left,left,178.72507245788248,-1.2749275421175241,172.42375202074317,-7.576247979256834,-5.332219870928366,93.98459500568018,-0.6103078328623894,4.953695571891117,0.6379556424152497,OK,0.8481890559196472
53,2.8053319454193115,left,left,178.56570979114315,-1.4342902088568508,172.44042514891194,-7.559574851088058,-5.306691750388619,94.12670151876078,-0.752414345942995,4.945294410603354,0.6295544811274851,OK,0.8470619320869446
54,2.859945058822632,left,left,178.52249366173018,-1.4775063382698193,172.47951264460852,-7.520487355391481,-5.320329415158327,94.57756160459606,-1.2032744317782686,5.30021320655939,0.9844732770835094,OK,0.8477990627288818
55,2.9115231037139893,left,left,178.5289190874591,-1.4710809125409128,172.51946805361493,-7.480531946385071,-5.335518326734914,94.91145257388129,-1.537165401063504,5.585385280990529,1.2696453515146402,OK,0.8483024835586548
56,2.962186813354492,left,left,178.38435174228124,-1.6156482577187603,172.46333654458905,-7.536663455410945,-5.35623370639869,94.60023247971898,-1.2259453069011954,5.165013971012489,0.8492740415366029,OK,0.8455638289451599
57,3.0250585079193115,left,left,178.37272856113867,-1.627271438861328,172.52819704414458,-7.4718029558554235,-5.286770315349723,94.53185911216451,-1.1575719393467239,5.089620313808889,0.7738803843330118,OK,0.8457186818122864
58,3.082106351852417,left,left,178.36447736121812,-1.6355226387818789,172.57753107898347,-7.422468921016531,-5.233536573699812,94.48717503058622,-1.1128878577684276,5.040584739121082,0.7248448096451909,OK,0.8460515141487122
59,3.145947217941284,left,left,178.3093425807464,-1.690657419253597,172.57280428679337,-7.427195713206629,-5.254215862373039,94.41118047778437,-1.0368933049665827,4.893502909364377,0.5777629798884902,OK,0.8448617458343506
60,3.20725154876709,left,left,178.47644450851914,-1.5235554914808631,172.68547092809874,-7.314529071901262,-5.2278755451269525,94.31668072745576,-0.9423935546379738,4.879778762749234,0.5640388332733437,OK,0.8434510231018066
61,3.261789083480835,left,left,178.60958877910375,-1.3904112208962545,172.76241468928012,-7.237585310719879,-5.214727688273762,94.2646446844409,-0.8903575116231082,4.897091085990757,0.5813511565148701,OK,0.8415907025337219
62,3.3189563751220703,left,left,179.04667311934347,-0.9533268806565331,173.0695310870926,-6.930468912907401,-5.13659615856556,93.66574556130327,-0.29145838848548067,4.506291434988588,0.19055150551270117,OK,0.8418877124786377
63,3.3790395259857178,left,left,179.35953075042613,-0.6404692495738686,173.2921953431452,-6.70780465685479,-5.086159270787283,93.11626125071169,0.25802592210609987,4.097437387205333,-0.2183025422705498,OK,0.8421029448509216
64,3.434523344039917,left,left,179.3518057639853,0.6481942360146888,174.32699504395305,-5.673004956046952,-4.754215673857546,91.96799761547058,1.4062895573472076,3.5349811336746932,-0.7807587958011766,OK,0.8436101675033569
65,3.4963412284851074,left,left,177.94966363342533,2.050336366574669,175.35777071213133,-4.642229287868673,-4.477656476321426,91.03826004466626,2.336027128151528,3.253169222788188,-1.0625707066876942,OK,0.8468424677848816
66,3.5511271953582764,left,left,177.0957856234358,2.904214376564198,176.00674398849338,-3.9932560115066167,-4.294554871593216,90.51495216863296,2.859335004184828,3.1178676851105918,-1.1978722443652998,OK,0.8484756946563721
67,3.612769842147827,left,left,174.31199533419672,5.688004665803277,177.94681076089282,-2.0531892391071835,-3.969681749337158,89.1939433813216,4.180343791496185,2.965455536894902,-1.3502843925809884,OK,0.851488471031189
68,3.6660120487213135,left,left,172.55404419654303,7.445955803456968,179.95428773645736,-0.04571226354264013,-3.360772174431269,89.8268417189003,3.54744545391749,3.957737611468671,-0.35800231800720894,OK,0.8569840788841248
69,3.725674629211426,left,left,172.62402413732278,7.3759758626772225,179.46523514128398,0.5347648587160165,-2.9795937249325597,90.30282578476019,3.0714613880575996,4.164443063788826,-0.15129686568704415,OK,0.8614845871925354
70,3.7801740169525146,left,left,170.61696979394063,9.383030206059374,177.50618508335825,2.493814916641753,-2.30504477426742,89.21673432211877,4.15755285069902,3.800904837268972,-0.5148350922069085,OK,0.8638781309127808
71,3.8360722064971924,left,left,169.92768570255626,10.07231429744374,176.62058838966124,3.3794116103387637,-1.925147854550282,88.2783701276323,5.095917045185487,3.0461249601870026,-1.269614969288881,OK,0.8653709292411804
72,3.8903279304504395,left,left,164.76599881102854,15.234001188971462,171.62035668744596,8.379643312554037,-0.43191345506147294,86.82407589777357,6.550211275044219,3.246520319129542,-1.0692196103463516,OK,0.8686178922653198
73,3.9533119201660156,left,left,161.93687376878046,18.06312623121954,167.28255159588593,12.717448404114066,1.2456825910332494,86.99443061825113,6.379856554566658,3.585791036389865,-0.7299488930860036,OK,0.870796263217926
74,4.0100226402282715,left,left,161.08761470211013,18.91238529788987,165.5645779113664,14.4354220886336,2.088427976972953,87.30193269297929,6.072354479838495,3.867323879208509,-0.44841605026738307,OK,0.8746089935302734
75,4.056827545166016,left,left,153.49862487726827,26.50137512273173,159.5971070289695,20.402892971030496,3.253219781567541,85.83978531080487,7.534501862012917,5.191487244073609,0.8757473145977315,OK,0.876789927482605
76,4.125019550323486,left,left,147.31656783657138,32.68343216342862,154.52822121417142,25.471778785828576,4.291762493088403,85.54575671602186,7.8285304567959315,7.049172586710289,2.7334326572344025,OK,0.8799931406974792
77,4.181966543197632,left,left,145.98445492525215,34.01554507474785,152.30333237583466,27.696667624165343,5.190817132504238,85.73097758763163,7.643309585186159,7.240672170718381,2.9249322412424874,OK,0.8850982785224915
78,4.241877794265747,left,left,142.48224003061284,37.51775996938716,148.18511510904068,31.81488489095932,6.601913583228274,84.76191863345404,8.612368539363743,7.066707295110167,2.7509673656342954,OK,0.8889395594596863
79,4.295744895935059,left,left,142.25592041281436,37.74407958718564,147.3287083417513,32.67129165824869,7.228712148766141,87.03747005037732,6.336817122440465,9.33897012808039,5.023230198604523,OK,0.8956838846206665
80,4.354669809341431,left,left,133.25219023600712,46.747809763992876,139.606040963523,40.393959036477014,8.29568350878433,85.98796904927521,7.38631812354258,10.637503285575411,6.321763356099524,OK,0.9024832844734192
81,4.420085668563843,left,left,130.06493815345698,49.93506184654302,135.41786296986598,44.58213703013402,9.87118934495889,82.50498199566785,10.86930517714994,7.729096157035716,3.413356227559831,OK,0.9093084931373596
82,4.472779035568237,left,left,129.20783189139257,50.79216810860743,134.5002147983436,45.49978520165641,10.739861963168245,80.03699122458406,13.33729594823373,6.069236094703322,1.753496165227432,OK,0.916030764579773
83,4.5280561447143555,left,left,126.1769738380625,53.823026161937506,131.53353975295863,48.46646024704137,11.866002099357782,78.54046664268076,14.833820530137032,5.763034656934652,1.4472947274587682,OK,0.9226198196411133
84,4.58311915397644,left,left,125.47511301176195,54.52488698823805,130.04370424822315,49.95629575177685,12.529022289684287,78.96902056711944,14.405266605698344,6.066634093264932,1.7508941637890416,OK,0.9283788204193115
85,4.649835824966431,left,left,120.98953645539157,59.01046354460843,124.22852916767448,55.77147083232552,14.458802462575623,78.46534356278822,14.908943610029567,6.16313873764675,1.8473988081708796,OK,0.934211254119873
86,4.707367658615112,left,left,117.85685170327783,62.143148296722174,121.17759471073425,58.822405289265745,15.49127111456788,79.58736130299134,13.786925869826447,8.399375425015652,4.083635495539767,OK,0.9391145706176758
87,4.762594938278198,left,left,118.50122262235874,61.49877737764126,120.4307907009983,59.5692092990017,16.68043944225229,75.76483540157508,17.609451771242703,4.374842922466935,0.05910299299105759,OK,0.9431726932525635
88,4.824660778045654,left,left,112.95338791919737,67.04661208080263,115.95372880028229,64.04627119971771,16.972809315996624,74.69236234902779,18.68192482379,4.665512546109323,0.3497726166334303,OK,0.9478915929794312
89,4.872446060180664,left,left,108.46195062118328,71.53804937881672,111.33642993299881,68.66357006700119,18.17407118577783,73.75369343511137,19.620593737706415,4.802243932704736,0.4865040032288448,OK,0.9517024755477905
90,4.928737640380859,left,left,108.09463775698082,71.90536224301918,110.96640320280238,69.03359679719762,18.978384681302423,74.23082183038989,19.143465342427902,6.0809719575138885,1.7652320280380138,OK,0.9554928541183472
